,size,floor,district,metro,rooms,renovation,price,size_fuzz,floor_fuzz,metro_fuzz,rooms_fuzz,price_fuzz
82,95,5,Подільський,3814,1,classic,34090,Large,Normal,Far,Few,Normal
83,73,14,Деснянський,2526,1,fashion,13236,Large,High,Far,Few,Cheap
84,89,11,Голосіївський,3427,3,classic,79577,Large,Normal,Far,Normal,Expensive
85,92,22,Дарницький,4123,2,old,53273,Large,High,Far,Normal,Expensive
86,42,8,Дніпровський,2819,3,old,58331,Normal,Normal,Far,Normal,Expensive
87,66,23,Соломянський,4354,3,fashion,98174,Large,High,Far,Normal,Expensive
88,45,4,Оболонський,988,3,fashion,87647,Normal,Low,Normal,Normal,Expensive
89,73,15,Дарницький,1939,2,fashion,50595,Large,High,Normal,Normal,Expensive
90,79,19,Святошинський,3131,1,fashion,39996,Large,High,Far,Few,Normal
91,37,24,Святошинський,3192,2,fashion,36158,Normal,High,Far,Normal,Normal
92,97,4,Шевченківський,4528,3,classic,24063,Large,Low,Far,Normal,Cheap
93,33,4,Подільський,749,2,new,33393,Small,Low,Normal,Normal,Normal
94,31,6,Соломянський,150,3,classic,95222,Small,Normal,Near,Normal,Expensive
95,31,20,Печерський,654,2,new,90783,Small,High,Normal,Normal,Expensive
96,63,1,Печерський,1821,2,fashion,90320,Normal,Low,Normal,Normal,Expensive
97,61,23,Святошинський,766,3,fashion,90276,Normal,High,Normal,Normal,Expensive
98,23,2,Оболонський,1758,1,new,78710,Small,Low,Normal,Few,Expensive
99,71,24,Дарницький,1761,3,new,68217,Large,High,Normal,Normal,Expensive
100,87,21,Печерський,4880,1,fashion,88193,Large,High,Far,Few,Expensive
101,23,17,Соломянський,1330,3,classic,73310,Small,High,Normal,Normal,Expensive
102,72,16,Деснянський,4958,3,classic,80313,Large,High,Far,Normal,Expensive
103,64,19,Голосіївський,308,2,fashion,57108,Normal,High,Near,Normal,Expensive
104,73,14,Деснянський,4856,1,old,28581,Large,High,Far,Few,Cheap
105,43,21,Печерський,3041,2,new,95583,Normal,High,Far,Normal,Expensive
106,85,13,Печерський,2975,2,new,87277,Large,High,Far,Normal,Expensive
107,69,13,Соломянський,1165,2,fashion,11238,Large,High,Normal,Normal,Cheap
108,65,19,Печерський,4273,2,fashion,45819,Normal,High,Far,Normal,Normal
109,20,7,Шевченківський,1224,3,old,83792,Small,Normal,Normal,Normal,Expensive
110,44,3,Подільський,4951,3,new,83379,Normal,Low,Far,Normal,Expensive
111,74,13,Печерський,3962,1,fashion,70494,Large,High,Far,Few,Expensive
112,60,19,Соломянський,3708,2,old,92554,Normal,High,Far,Normal,Expensive
113,64,11,Подільський,1928,1,classic,64002,Normal,Normal,Normal,Few,Expensive
114,59,1,Дарницький,2159,1,old,41319,Normal,Low,Normal,Few,Normal
115,51,5,Деснянський,4486,2,fashion,76836,Normal,Normal,Far,Normal,Expensive
116,82,24,Деснянський,3125,1,classic,31147,Large,High,Far,Few,Normal
117,63,11,Святошинський,1141,2,old,37097,Normal,Normal,Normal,Normal,Normal
118,76,4,Оболонський,1248,1,old,54550,Large,Low,Normal,Few,Expensive
119,45,17,Голосіївський,559,2,fashion,42240,Normal,High,Normal,Normal,Normal
120,36,17,Дніпровський,904,3,classic,47732,Normal,High,Normal,Normal,Normal
121,78,5,Дніпровський,3955,2,fashion,39164,Large,Normal,Far,Normal,Normal
122,28,19,Деснянський,903,1,classic,81975,Small,High,Normal,Few,Expensive
123,68,22,Дніпровський,2894,3,fashion,57243,Large,High,Far,Normal,Expensive
124,76,15,Шевченківський,3494,1,fashion,83956,Large,High,Far,Few,Expensive
125,56,8,Соломянський,1200,3,new,78319,Normal,Normal,Normal,Normal,Expensive
126,62,3,Святошинський,2513,3,new,83793,Normal,Low,Far,Normal,Expensive
127,95,4,Дарницький,1902,1,new,45889,Large,Low,Normal,Few,Normal
128,52,1,Шевченківський,4102,2,fashion,19530,Normal,Low,Far,Normal,Cheap
129,82,20,Соломянський,4740,2,fashion,65342,Large,High,Far,Normal,Expensive
130,46,20,Дарницький,1883,2,classic,67552,Normal,High,Normal,Normal,Expensive
131,72,9,Печерський,2209,3,classic,19654,Large,Normal,Normal,Normal,Cheap
132,49,14,Оболонський,2704,1,classic,46406,Normal,High,Far,Few,Normal
133,31,18,Подільський,2225,2,fashion,21007,Small,High,Normal,Normal,Cheap
134,96,14,Дарницький,2194,1,new,22209,Large,High,Normal,Few,Cheap
135,86,17,Деснянський,1475,3,old,95448,Large,High,Normal,Normal,Expensive
136,34,13,Дарницький,1726,1,old,52096,Small,High,Normal,Few,Expensive
137,92,14,Печерський,1288,2,fashion,47165,Large,High,Normal,Normal,Normal
138,34,14,Святошинський,1864,2,old,41933,Small,High,Normal,Normal,Normal
139,76,4,Оболонський,2502,1,old,98540,Large,Low,Far,Few,Expensive
140,91,19,Соломянський,1339,1,new,80025,Large,High,Normal,Few,Expensive
141,64,5,Оболонський,3005,1,classic,28076,Normal,Normal,Far,Few,Cheap
142,29,5,Соломянський,3207,1,old,22405,Small,Normal,Far,Few,Cheap
143,45,8,Святошинський,3003,1,new,92679,Normal,Normal,Far,Few,Expensive
144,21,10,Дніпровський,1500,3,new,64267,Small,Normal,Normal,Normal,Expensive
145,73,11,Оболонський,144,1,fashion,46811,Large,Normal,Near,Few,Normal
146,50,9,Подільський,4279,2,fashion,85106,Normal,Normal,Far,Normal,Expensive
147,42,15,Деснянський,3593,3,classic,39270,Normal,High,Far,Normal,Normal
148,89,20,Оболонський,2044,3,new,43287,Large,High,Normal,Normal,Normal
149,91,3,Соломянський,3817,2,new,12061,Large,Low,Far,Normal,Cheap
150,24,6,Деснянський,3474,2,fashion,21683,Small,Normal,Far,Normal,Cheap
151,59,1,Оболонський,204,3,new,21030,Normal,Low,Near,Normal,Cheap
152,73,9,Подільський,1505,1,old,85374,Large,Normal,Normal,Few,Expensive
153,75,10,Дарницький,2335,1,fashion,37938,Large,Normal,Normal,Few,Normal
154,44,21,Соломянський,3827,1,fashion,31818,Normal,High,Far,Few,Normal
155,62,17,Деснянський,485,1,old,69923,Normal,High,Near,Few,Expensive
156,78,13,Соломянський,1323,2,new,51290,Large,High,Normal,Normal,Expensive
157,90,21,Оболонський,1851,2,classic,95452,Large,High,Normal,Normal,Expensive
158,71,23,Подільський,885,3,old,10688,Large,High,Normal,Normal,Cheap
159,43,15,Деснянський,3014,3,old,50107,Normal,High,Far,Normal,Expensive
160,70,1,Подільський,3883,2,new,23799,Large,Low,Far,Normal,Cheap
161,68,2,Соломянський,1183,3,new,65752,Large,Low,Normal,Normal,Expensive
162,45,23,Дніпровський,3879,2,old,18493,Normal,High,Far,Normal,Cheap
163,57,22,Голосіївський,1015,2,fashion,70897,Normal,High,Normal,Normal,Expensive
164,98,18,Дарницький,3280,2,fashion,87515,Large,High,Far,Normal,Expensive
165,27,19,Деснянський,3446,2,classic,79160,Small,High,Far,Normal,Expensive
166,90,12,Дніпровський,263,3,old,94093,Large,Normal,Near,Normal,Expensive
167,48,7,Подільський,4995,1,fashion,19567,Normal,Normal,Far,Few,Cheap
168,66,16,Шевченківський,2890,3,classic,43980,Large,High,Far,Normal,Normal
169,56,9,Голосіївський,1645,1,new,79205,Normal,Normal,Normal,Few,Expensive
170,63,22,Деснянський,2638,2,classic,17168,Normal,High,Far,Normal,Cheap
171,60,1,Оболонський,4368,3,new,99633,Normal,Low,Far,Normal,Expensive
172,89,22,Шевченківський,3508,3,classic,75903,Large,High,Far,Normal,Expensive
173,58,11,Дарницький,1634,1,old,50284,Normal,Normal,Normal,Few,Expensive
174,74,20,Голосіївський,4221,1,fashion,60680,Large,High,Far,Few,Expensive
175,41,20,Соломянський,205,3,new,32307,Normal,High,Near,Normal,Normal
176,87,20,Соломянський,2366,1,old,15414,Large,High,Normal,Few,Cheap
177,84,18,Святошинський,2969,2,new,72796,Large,High,Far,Normal,Expensive
178,48,1,Подільський,3624,2,new,43801,Normal,Low,Far,Normal,Normal
179,40,7,Подільський,4458,1,new,92588,Normal,Normal,Far,Few,Expensive
180,57,11,Подільський,859,3,classic,93243,Normal,Normal,Normal,Normal,Expensive
181,58,18,Святошинський,3906,2,new,71151,Normal,High,Far,Normal,Expensive
182,22,21,Соломянський,2868,2,new,69646,Small,High,Far,Normal,Expensive
183,75,6,Печерський,3840,3,old,51551,Large,Normal,Far,Normal,Expensive
184,81,10,Оболонський,4914,1,classic,77751,Large,Normal,Far,Few,Expensive
185,84,24,Дніпровський,3120,3,classic,53568,Large,High,Far,Normal,Expensive
186,44,17,Печерський,2126,2,new,70248,Normal,High,Normal,Normal,Expensive
187,34,23,Соломянський,1596,2,old,30432,Small,High,Normal,Normal,Normal
188,22,6,Святошинський,1195,1,classic,28284,Small,Normal,Normal,Few,Cheap
189,97,20,Голосіївський,2520,3,classic,50896,Large,High,Far,Normal,Expensive
190,54,7,Дніпровський,3137,1,old,26050,Normal,Normal,Far,Few,Cheap
191,59,16,Подільський,4597,2,fashion,60649,Normal,High,Far,Normal,Expensive
192,38,23,Подільський,2534,3,old,19158,Normal,High,Far,Normal,Cheap
193,82,10,Шевченківський,1031,3,fashion,18241,Large,Normal,Normal,Normal,Cheap
194,31,2,Оболонський,730,1,old,64000,Small,Low,Normal,Few,Expensive
195,54,21,Деснянський,4476,2,old,91789,Normal,High,Far,Normal,Expensive
196,88,5,Шевченківський,4574,2,fashion,80584,Large,Normal,Far,Normal,Expensive
197,85,3,Печерський,3302,2,classic,65125,Large,Low,Far,Normal,Expensive
198,78,3,Подільський,4227,2,new,56759,Large,Low,Far,Normal,Expensive
199,42,15,Печерський,3113,2,classic,24216,Normal,High,Far,Normal,Cheap
200,50,10,Подільський,1274,1,fashion,17339,Normal,Normal,Normal,Few,Cheap
201,90,6,Дарницький,3065,2,fashion,69252,Large,Normal,Far,Normal,Expensive
202,75,6,Соломянський,3851,1,old,52958,Large,Normal,Far,Few,Expensive
203,32,14,Дніпровський,560,1,old,40613,Small,High,Normal,Few,Normal
204,29,11,Святошинський,1778,1,old,51899,Small,Normal,Normal,Few,Expensive
205,88,12,Дарницький,1302,2,fashion,31344,Large,Normal,Normal,Normal,Normal
206,75,1,Соломянський,1799,1,fashion,47483,Large,Low,Normal,Few,Normal
207,27,13,Голосіївський,4072,2,old,83795,Small,High,Far,Normal,Expensive
208,53,18,Печерський,1267,1,new,44453,Normal,High,Normal,Few,Normal
209,23,21,Голосіївський,998,2,old,14608,Small,High,Normal,Normal,Cheap
210,78,10,Соломянський,3640,3,fashion,87771,Large,Normal,Far,Normal,Expensive
211,50,14,Дніпровський,2547,2,classic,73150,Normal,High,Far,Normal,Expensive
212,31,17,Шевченківський,4197,2,new,71413,Small,High,Far,Normal,Expensive
213,79,5,Печерський,1391,3,classic,21620,Large,Normal,Normal,Normal,Cheap
214,75,24,Дарницький,2316,2,classic,31676,Large,High,Normal,Normal,Normal
215,86,6,Шевченківський,2955,3,new,55083,Large,Normal,Far,Normal,Expensive
216,99,9,Святошинський,426,1,fashion,13087,Large,Normal,Near,Few,Cheap
217,94,18,Оболонський,4415,1,fashion,47849,Large,High,Far,Few,Normal
218,93,7,Шевченківський,413,2,classic,34011,Large,Normal,Near,Normal,Normal
219,43,3,Деснянський,2787,1,fashion,26886,Normal,Low,Far,Few,Cheap
220,69,9,Дарницький,2202,2,fashion,48715,Large,Normal,Normal,Normal,Normal
221,77,2,Дніпровський,249,1,old,65328,Large,Low,Near,Few,Expensive
222,74,15,Дніпровський,2450,1,classic,55601,Large,High,Normal,Few,Expensive
223,47,21,Оболонський,2203,1,fashion,60477,Normal,High,Normal,Few,Expensive
224,47,18,Святошинський,942,3,fashion,25997,Normal,High,Normal,Normal,Cheap
225,50,2,Голосіївський,4969,3,new,69212,Normal,Low,Far,Normal,Expensive
226,96,1,Голосіївський,1060,2,old,89535,Large,Low,Normal,Normal,Expensive
227,21,1,Печерський,2269,1,old,69445,Small,Low,Normal,Few,Expensive
228,22,2,Дніпровський,2439,3,classic,71485,Small,Low,Normal,Normal,Expensive
229,60,7,Шевченківський,4263,2,fashion,39547,Normal,Normal,Far,Normal,Normal
230,59,23,Соломянський,4267,2,classic,14071,Normal,High,Far,Normal,Cheap
231,78,9,Подільський,2684,1,fashion,59803,Large,Normal,Far,Few,Expensive
232,72,14,Дніпровський,2417,2,old,33073,Large,High,Normal,Normal,Normal
233,38,11,Подільський,4011,3,new,64935,Normal,Normal,Far,Normal,Expensive
234,94,21,Шевченківський,2734,3,new,47839,Large,High,Far,Normal,Normal
235,69,14,Печерський,410,1,old,25081,Large,High,Near,Few,Cheap
236,75,10,Оболонський,1930,2,new,58763,Large,Normal,Normal,Normal,Expensive
237,24,4,Соломянський,3289,3,classic,66634,Small,Low,Far,Normal,Expensive
238,33,22,Подільський,1579,3,old,27097,Small,High,Normal,Normal,Cheap
239,68,11,Дніпровський,3598,3,classic,88375,Large,Normal,Far,Normal,Expensive
240,80,14,Шевченківський,4096,1,old,58337,Large,High,Far,Few,Expensive
241,66,21,Голосіївський,2156,2,classic,37937,Large,High,Normal,Normal,Normal
242,44,8,Голосіївський,4172,1,classic,25005,Normal,Normal,Far,Few,Cheap
243,99,4,Голосіївський,3140,1,fashion,80734,Large,Low,Far,Few,Expensive
244,88,3,Дарницький,4868,1,old,75381,Large,Low,Far,Few,Expensive
245,42,1,Шевченківський,4616,3,classic,93700,Normal,Low,Far,Normal,Expensive
246,20,13,Шевченківський,1610,2,new,70325,Small,High,Normal,Normal,Expensive
247,87,16,Оболонський,2182,1,old,96268,Large,High,Normal,Few,Expensive
248,22,4,Дарницький,4310,1,old,28927,Small,Low,Far,Few,Cheap
249,44,11,Деснянський,771,2,fashion,19818,Normal,Normal,Normal,Normal,Cheap
250,57,23,Дарницький,1467,3,classic,66356,Normal,High,Normal,Normal,Expensive
251,24,13,Святошинський,4066,3,fashion,95667,Small,High,Far,Normal,Expensive
252,84,14,Оболонський,938,1,classic,60257,Large,High,Normal,Few,Expensive
253,92,5,Шевченківський,1904,3,old,11527,Large,Normal,Normal,Normal,Cheap
254,91,7,Дніпровський,3149,2,fashion,73628,Large,Normal,Far,Normal,Expensive
255,58,8,Соломянський,4127,3,old,36931,Normal,Normal,Far,Normal,Normal
256,28,18,Дарницький,3906,2,old,36213,Small,High,Far,Normal,Normal
257,25,23,Голосіївський,4839,3,old,72074,Small,High,Far,Normal,Expensive
258,83,6,Печерський,1640,1,fashion,21998,Large,Normal,Normal,Few,Cheap
259,76,9,Оболонський,2445,1,classic,74038,Large,Normal,Normal,Few,Expensive
260,38,21,Дніпровський,2857,2,fashion,26758,Normal,High,Far,Normal,Cheap
261,89,15,Дарницький,376,3,old,81280,Large,High,Near,Normal,Expensive
262,32,12,Деснянський,300,3,classic,96189,Small,Normal,Near,Normal,Expensive
263,40,7,Печерський,1228,3,new,60549,Normal,Normal,Normal,Normal,Expensive
264,37,6,Дніпровський,1646,1,classic,83248,Normal,Normal,Normal,Few,Expensive
265,44,18,Оболонський,1974,2,classic,55219,Normal,High,Normal,Normal,Expensive
266,48,9,Оболонський,2541,3,fashion,19156,Normal,Normal,Far,Normal,Cheap
267,35,17,Деснянський,173,2,new,44215,Small,High,Near,Normal,Normal
268,37,17,Святошинський,3092,3,classic,22322,Normal,High,Far,Normal,Cheap
269,27,15,Дарницький,2826,2,classic,56621,Small,High,Far,Normal,Expensive
270,29,11,Голосіївський,2328,2,old,78260,Small,Normal,Normal,Normal,Expensive
271,81,1,Святошинський,3387,2,new,81977,Large,Low,Far,Normal,Expensive
272,96,8,Дарницький,1544,1,classic,95700,Large,Normal,Normal,Few,Expensive
273,99,20,Соломянський,2159,1,new,30879,Large,High,Normal,Few,Normal
274,57,15,Печерський,1462,1,old,39092,Normal,High,Normal,Few,Normal
275,52,23,Печерський,757,3,new,95510,Normal,High,Normal,Normal,Expensive
276,47,3,Оболонський,1265,3,fashion,12951,Normal,Low,Normal,Normal,Cheap
277,52,20,Святошинський,483,2,new,64577,Normal,High,Near,Normal,Expensive
278,96,4,Соломянський,3899,1,old,26421,Large,Low,Far,Few,Cheap
279,78,24,Святошинський,442,1,classic,30533,Large,High,Near,Few,Normal
280,89,2,Деснянський,387,1,fashion,55541,Large,Low,Near,Few,Expensive
281,84,23,Оболонський,1107,1,classic,13927,Large,High,Normal,Few,Cheap
282,61,20,Подільський,2037,2,new,36008,Normal,High,Normal,Normal,Normal
283,31,19,Святошинський,3375,3,classic,10565,Small,High,Far,Normal,Cheap
284,70,16,Подільський,2421,3,classic,93879,Large,High,Normal,Normal,Expensive
285,47,6,Голосіївський,1111,2,old,26997,Normal,Normal,Normal,Normal,Cheap
286,77,3,Печерський,2401,2,new,75693,Large,Low,Normal,Normal,Expensive
287,60,9,Голосіївський,3831,1,old,67456,Normal,Normal,Far,Few,Expensive
288,69,7,Дніпровський,3235,2,fashion,61731,Large,Normal,Far,Normal,Expensive
289,44,13,Дніпровський,4461,2,old,26965,Normal,High,Far,Normal,Cheap
290,82,12,Дарницький,1485,3,old,80829,Large,Normal,Normal,Normal,Expensive
291,82,16,Подільський,2995,1,new,47752,Large,High,Far,Few,Normal
292,94,6,Подільський,4159,2,old,20185,Large,Normal,Far,Normal,Cheap
293,42,1,Дніпровський,3109,1,fashion,64167,Normal,Low,Far,Few,Expensive
294,53,13,Деснянський,4029,2,new,37227,Normal,High,Far,Normal,Normal
295,22,13,Печерський,4710,3,fashion,66106,Small,High,Far,Normal,Expensive
296,69,12,Печерський,911,1,new,79704,Large,Normal,Normal,Few,Expensive
297,25,21,Печерський,113,1,fashion,24438,Small,High,Near,Few,Cheap
298,79,1,Оболонський,3664,3,fashion,26765,Large,Low,Far,Normal,Cheap
299,49,2,Дніпровський,4551,3,fashion,86572,Normal,Low,Far,Normal,Expensive
300,77,19,Оболонський,4442,2,old,25448,Large,High,Far,Normal,Cheap
301,49,13,Соломянський,3639,3,new,44499,Normal,High,Far,Normal,Normal
302,25,4,Дніпровський,3289,2,old,96197,Small,Low,Far,Normal,Expensive
303,77,5,Шевченківський,2642,1,classic,34235,Large,Normal,Far,Few,Normal
304,61,15,Шевченківський,3575,2,fashion,41202,Normal,High,Far,Normal,Normal
305,85,23,Деснянський,193,1,fashion,57308,Large,High,Near,Few,Expensive
306,52,12,Дніпровський,1114,1,fashion,75498,Normal,Normal,Normal,Few,Expensive
307,66,1,Святошинський,2588,2,classic,54414,Large,Low,Far,Normal,Expensive
308,67,21,Подільський,239,1,old,80556,Large,High,Near,Few,Expensive
309,63,13,Оболонський,3986,2,new,78588,Normal,High,Far,Normal,Expensive
310,34,18,Оболонський,3123,1,new,18314,Small,High,Far,Few,Cheap
311,49,2,Печерський,723,3,classic,95853,Normal,Low,Normal,Normal,Expensive
312,25,11,Оболонський,3446,1,old,53420,Small,Normal,Far,Few,Expensive
313,97,7,Соломянський,2426,2,fashion,35683,Large,Normal,Normal,Normal,Normal
314,52,19,Святошинський,899,1,old,44757,Normal,High,Normal,Few,Normal
315,93,18,Шевченківський,3968,3,classic,64791,Large,High,Far,Normal,Expensive
316,64,3,Святошинський,421,3,classic,16038,Normal,Low,Near,Normal,Cheap
317,29,3,Печерський,592,2,old,76708,Small,Low,Normal,Normal,Expensive
318,38,22,Подільський,3191,1,classic,45955,Normal,High,Far,Few,Normal
319,20,10,Святошинський,581,2,new,30003,Small,Normal,Normal,Normal,Normal
320,22,20,Соломянський,1581,1,fashion,63334,Small,High,Normal,Few,Expensive
321,29,13,Голосіївський,3135,1,fashion,96197,Small,High,Far,Few,Expensive
322,69,15,Шевченківський,4905,1,old,50775,Large,High,Far,Few,Expensive
323,57,10,Деснянський,4406,3,old,59455,Normal,Normal,Far,Normal,Expensive
324,75,9,Святошинський,3510,2,fashion,91781,Large,Normal,Far,Normal,Expensive
325,44,10,Голосіївський,4254,3,classic,91990,Normal,Normal,Far,Normal,Expensive
326,88,12,Оболонський,1449,3,old,41147,Large,Normal,Normal,Normal,Normal
327,44,23,Шевченківський,3251,2,old,94122,Normal,High,Far,Normal,Expensive
328,77,15,Соломянський,4923,1,old,63567,Large,High,Far,Few,Expensive
329,40,2,Святошинський,4610,1,new,86964,Normal,Low,Far,Few,Expensive
330,85,16,Дніпровський,3447,3,old,15321,Large,High,Far,Normal,Cheap
331,30,17,Подільський,3254,2,old,16226,Small,High,Far,Normal,Cheap
332,26,5,Голосіївський,1828,3,old,66440,Small,Normal,Normal,Normal,Expensive
333,90,9,Деснянський,2259,2,fashion,13540,Large,Normal,Normal,Normal,Cheap
334,31,4,Деснянський,3454,1,old,21300,Small,Low,Far,Few,Cheap
335,98,20,Печерський,223,1,fashion,50893,Large,High,Near,Few,Expensive
336,50,10,Шевченківський,1470,3,old,90221,Normal,Normal,Normal,Normal,Expensive
337,78,19,Подільський,4859,2,new,32138,Large,High,Far,Normal,Normal
338,45,6,Дніпровський,1525,1,new,46240,Normal,Normal,Normal,Few,Normal
339,23,3,Деснянський,752,3,classic,30940,Small,Low,Normal,Normal,Normal
